username,The Dark Knight,Sleepless in Seattle,The Godfather,Pulp Fiction,Forrest Gump,Despicable Me,Memento,Amelie,Princess Mononoke,Pans Labyrinth,Inception,Titanic,The Notebook,Shawshank Redemption,Fight Club,Spider Man 2,Dumb and Dumber,Three Hundred,Passion of the Christ,Anger Management,Django,Terminator,Harry Potter,The Ring,Scream,Transformers 2,Psycho,Dirty Harry,Eight Mile,Scarface,Monty Python and the Holy Grail,Avatar,Twilight,Oceans Twelve,Batman Begins,Cool Runnings,American Pie,Aladdin,The Village,Unbreakable,The Wizard of Oz,Mission Impossible,Ice Age,Meet the Parents,The Butterfly Effect,Hollow Man,Fast 6,Alvin & the Chipmunks,Fantastic Four,Jackie Brown,From Dusk Till Dawn,Hugo,Toy Story,Monsters Ball,A Beautiful Mind,Vanilla Sky,Vampire Hunter,Zoolander,Pearl Harbor,Blow,Chocolat,Oldboy,Band of Brothers,Team America,Yellow Submarine,The Fall,Fantasia,The Usual Suspects,The Green Mile,Gladiator,Remember the Titans,Kill Bill,There will be Blood,Magnolia,Gangs of New York,A Hitchhikers Guide to the Galaxy,Eternal Sunshine of the Spotless Mind,Kings Speech,Apocalypse Now,The Hours,Punch Drunk Love,The Big Lebowski,Clerks,Hitch,The 40 Year Old Virgin,Love Actually,When Harry Met Sally,Blade Runner,The Matrix,District 9,Star Trek,Prometheus,Skyfall,Ip Man,Battle Royale,Lost in Translation,Eyes Wide Shut,The Prestige,Citizen Kane
Owen,5,,5,4,5,,4,,,3,4,,3,3,4,2,,3,,,5,,,,,,,4,2,4,4,,,,4,4,3,3,,,3,3,,3,,,,,,,,,4,,4,,,3,,4,,4,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connie,3,,5,3,4,4,,,,,4,4,4,,,3,3,2,2,,,,3,2,,2,,,2,5,,4,,,,,3,4,,,2,,3,3,1,,3,3,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh,5,,5,5,5,5,5,,,,3,4,,5,5,4,5,5,4,,5,4,2,4,4,3,,,5,5,,,2,,5,4,4,4,3,5,4,3,4,5,5,3,1,1,,,,3,5,,5,4,,5,,,,5,,5,,,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris,,,,,,,5,3,,3,5,3,,5,3,2,2,5,3,,3,4,3,2,1,3,4,,3,4,4,4,,2,5,2,3,2,2,5,4,4,3,4,2,,,,3,4,,,4,,5,,,4,3,3,,,4,2,,,3,3,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary,2,,3,4,4,2,3,3,4,,2,1,,5,5,2,3,3,,2,4,5,2,2,3,2,3,3,3,,2,3,,3,,4,2,4,3,4,4,2,,2,3,,,,,3,4,,5,,3,,,,1,,,,,3,1,,,4,4,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aysegul,5,3,5,5,5,3,5,,,2,5,4,4,5,5,,,1,1,3,,3,4,,,,,4,5,4,5,4,,3,,,,,,3,,,,3,,,,,,,,,5,,4,,,,,,4,,,5,,5,,5,5,4,,3,5,5,5,5,5,5,5,5,5,5,,,,,4,,,,,,,,,,,,3
Guy,5,2,5,4,3,3,4,,5,2,4,2,,3,3,1,2,3,,1,5,2,,3,1,2,2,,,4,5,3,,,3,3,3,4,2,,2,2,2,2,,2,,,,,3,,3,,4,4,,3,,,,5,,3,,5,2,4,,4,4,4,4,,4,,4,2,,,,4,,3,3,3,,3,4,3,4,3,3,5,3,2,3,5,
Savannah,4,,,,3,5,,,,3,4,,2,4,,4,2,,,,,,3,1,,,,,3,,,4,,,,,,,,,5,,3,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,3,,,,,,4,,,,3,,3,4,3,3,,5,5,5,,5,,,,,,
Josh,4,,5,4,1,,5,5,4,5,4,2,,4,4,,3,4,,,5,4,,,3,,,4,,,,,,3,4,,,,,4,,4,,3,1,1,,,1,5,3,,,,,3,,4,1,3,,,,,,,,4,2,3,,4,5,4,3,,4,,5,,4,4,3,2,4,,,5,4,4,4,3,,,,4,,3,5
Peter,4,3,3,3,4,1,4,4,3,4,5,4,3,3,4,4,3,5,3,,4,5,3,4,3,1,2,,2,3,3,3,,2,3,3,5,4,,2,3,3,2,3,3,3,,,2,3,,3,5,,3,3,3,3,2,,3,,5,5,,,3,3,3,5,,1,4,,3,3,4,4,3,,,4,2,2,3,3,3,3,5,1,5,2,3,,4,4,,1,
Ricky,5,3,,3,4,3,,3,3,3,3,2,3,5,5,2,3,3,,4,3,3,,,,,,2,,,,,1,2,5,,5,,5,4,4,,,5,3,3,2,1,,,2,,,,,,,,,,,,,,,,,,,5,,,3,,3,,,,,,,5,,,5,,,2,5,5,4,4,5,5,,4,,2,2
Mike,5,3,5,4,4,,5,4,5,,5,2,,4,5,2,3,4,3,3,,5,3,4,2,1,4,4,4,4,4,4,1,,5,,4,4,4,4,3,2,3,3,,,,,2,,,,4,,3,3,,2,1,,3,3,,,,,4,5,4,5,,5,5,,,4,5,4,5,,,5,,,,,4,5,5,4,4,3,4,,,5,,3,4
Stephen,5,1,,3,5,,4,,,2,5,2,3,5,4,3,5,3,,3,5,3,4,4,2,1,,,,,2,4,1,1,5,5,4,5,2,,4,3,,4,3,,4,,2,,,,4,,4,2,,4,,,,,,3,,,,,,5,4,3,,,,,4,4,,,,,,4,4,1,,,5,4,5,3,3,,,3,,2,
Maddy,5,,,,4,,,,,5,5,5,4,5,,4,,,,,,,4,4,,2,,,,,3,5,1,,,3,,3,,,4,,2,3,,,,2,,,,4,4,,5,,,3,,,,,,,,,,,,,4,5,,,,4,5,,,,,,,4,,,,,5,,,,5,,,,,,
ShaoBow,5,,4,5,5,,5,,,,5,4,,5,4,,,3,,,,5,,,,4,,,,,,4,,2,,,,,,,,5,5,,2,,,,,,,,5,,4,,,,2,,,,,,,,,5,,5,,5,,,,,4,,,,,,,,2,5,5,5,5,3,,,5,,,4,5,,5
